Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
"puella, puellae, {f.}",girl,233,Noun,,girl,1
"puer, puerī, {m.}",boy,191,Noun,,boy,1
"pugnō, pugnāre, pugnāvī, pugnātum",to fight,708,Verb,,to fight,1
"pulcher, pulchra, pulchrum",beautiful,569,Adjective,,beautiful,1
"pūpa, pūpae, {f.}",doll,0,,,doll,1
"putō, putāre, putāvī, putātum",to think,166,Verb,,to think,1
"quālis, quāle",what kind of,263,Adjective,,what kind of,1
quam,how {as an exclamatory adverb}; than {after a comparative}; as {with a {{superlative}} and *possum*},29,Conjunction,,how {as an exclamatory adverb}; than {after a comparative}; as {with a {{superlative}} and *possum*},1
quattuor,four,867,Numeral,,four,1
"quī, quae, quod","who; which; that; {functioning as a relative pronoun}; this {functioning as a connecting relative at the start of a sentence}; which?, what? {functioning as an {{interrogative adjective}}, distinguishing its use from the {{interrogative pronoun}} *quis, quid* — see *quis, quid* for idioms}",3,Adjective,,"who; which; that; {functioning as a relative pronoun}; this {functioning as a connecting relative at the start of a sentence}; which?, what? {functioning as an {{interrogative adjective}}, distinguishing its use from the {{interrogative pronoun}} *quis, quid* — see *quis, quid* for idioms}",1
quia,because,132,Conjunction,,because,1
"quis, quid",who?; what?,212,Pronoun,,who? ‖ what?,1
quoque,also,76,Adverb,,also,1
"rēs, reī, {f.}","thing, things",38,Noun,,"thing, things",1
"respondeō, respondēre, respondī, respōnsum","to respond, to answer",535,Verb,,"to respond, to answer",1
"respōnsum, respōnsī, {n.}","answer, reply",0,Noun,,"answer, reply",1
"rēx, rēgis, {m.}",king,60,Noun,,king,1
"rīdeō, rīdēre, rīsī, rīsum",to laugh,874,Verb,,to laugh,1
"rīdiculus, rīdicula, rīdiculum","ridiculous, laughable",0,,,"ridiculous, laughable",1
"Rōma, Rōmae, {f.}",Rome,0,Noun,,Rome,1
saepe,often,145,Adverb,,often,1
"salvē, salvēte",hello,0,,,hello,1
"sapiēns, sapientis","wise, clever",453,Adjective,,"wise, clever",1
"saxum, saxī, {n.}",a rock,306,Noun,,a rock,1
"sciō, scīre, scīvī, scītum",to know,172,Verb,,to know,1
"scrībō, scrībere, scrīpsī, scrīptum",to write,568,Verb,,to write,1
"sēcrētus, sēcrēta, sēcrētum","secret, hidden",0,,,"secret, hidden",1
"secundus, secunda, secundum",second,836,,,second,1
sed,but,20,Conjunction,,but,1
"sedeō, sedēre, sēdī, sessum",to sit,506,Verb,,to sit,1
semper,always,149,Adverb,,always,1
"senex, senis, {m.}",old man,558,"Noun, Adjective",,old man,1
"sentiō, sentīre, sēnsī, sēnsum",to feel,302,Verb,,to feel,1
"sepulcrum, sepulcrī, {n.}",tomb,949,Noun,,tomb,1
"servō, servāre, servāvī, servātum",to save,289,Verb,,to save,1
"servus, servī, {m.}","enslaved man, slave",496,Noun,,"enslaved man, slave",1
sī,if,16,Conjunction,,if,1
sīcut,"just as, just like",791,Conjunction,,"just as, just like",1
"silentium, silentiī, {n.}",silence,0,Noun,,silence,1
"silva, silvae, {f.}",forest,234,Noun,,forest,1
